templates=90 frames=655 workers=19 ds=2
  25/655 total=85 22s
  50/655 total=152 39s
  75/655 total=203 41s
  100/655 total=250 59s
  125/655 total=276 79s
  150/655 total=327 82s
  175/655 total=370 104s
  200/655 total=440 122s
  225/655 total=475 128s
  250/655 total=528 146s
  275/655 total=588 164s
  300/655 total=597 169s
  325/655 total=657 186s
  350/655 total=732 207s
  375/655 total=818 214s
  400/655 total=920 232s
  425/655 total=1034 249s
  450/655 total=1121 258s
  475/655 total=1209 278s
  500/655 total=1292 293s
  525/655 total=1365 301s
  550/655 total=1435 320s
  575/655 total=1486 338s
  600/655 total=1548 346s
  625/655 total=1592 365s
  650/655 total=1625 372s
  655/655 total=1634 373s
done 655 frames / 1634 dets / 373.0s (0.57s per frame, 19 workers)
