epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9532,1.27641,5.99481,0.00218,0.01856,0.71542,0.08139,0.03108,0.89647,5.69484,0.00242,0.00040625,0.00040625,0.00040625
2,24.2952,1.1976,4.24894,0.00203,0.79868,0.60271,0.67407,0.42754,1.11436,3.96726,0.00295,0.000816128,0.000816128,0.000816128
3,30.5524,1.18064,3.72886,0.00204,0.6749,0.72884,0.69007,0.48025,1.04289,3.51267,0.00287,0.00121913,0.00121913,0.00121913
4,36.891,1.13542,3.14564,0.00197,0.71803,0.67231,0.73986,0.49519,0.83808,2.70725,0.00237,0.00121906,0.00121906,0.00121906
5,42.5398,1.11879,2.76893,0.00181,0.63671,0.72519,0.69659,0.51965,0.76991,2.48347,0.00205,0.00120875,0.00120875,0.00120875
6,48.0825,1.18896,2.60085,0.00194,0.68713,0.88035,0.71855,0.55331,0.90597,2.35409,0.0024,0.00119844,0.00119844,0.00119844
7,53.7459,1.04146,2.36022,0.00168,0.6799,0.9016,0.7277,0.57858,0.80962,2.24296,0.00209,0.00118812,0.00118812,0.00118812
8,59.6763,1.00473,2.20012,0.00163,0.66652,0.93069,0.73147,0.59178,0.76335,1.99713,0.00199,0.00117781,0.00117781,0.00117781
9,66.1064,0.93652,2.11208,0.00153,0.67287,0.88715,0.73971,0.61319,0.72113,1.98844,0.00192,0.0011675,0.0011675,0.0011675
10,72.4522,0.90436,1.99209,0.00146,0.6709,0.89122,0.7677,0.60067,0.86469,1.80555,0.00238,0.00115719,0.00115719,0.00115719
11,78.5216,0.92912,1.82112,0.00153,0.69764,0.85959,0.77279,0.62699,0.78603,1.60472,0.00199,0.00114688,0.00114688,0.00114688
12,85.0438,0.88683,1.67105,0.00151,0.70453,0.84054,0.78014,0.63765,0.73085,1.50442,0.00182,0.00113656,0.00113656,0.00113656
13,90.8685,0.85155,1.51603,0.00139,0.70802,0.8402,0.80698,0.65157,0.67833,1.38156,0.00177,0.00112625,0.00112625,0.00112625
14,96.8773,0.85229,1.37179,0.00137,0.73916,0.84169,0.82177,0.67564,0.68282,1.27339,0.00173,0.00111594,0.00111594,0.00111594
15,102.948,0.81669,1.26933,0.00131,0.722,0.8279,0.81077,0.6661,0.62127,1.21943,0.00166,0.00110563,0.00110563,0.00110563
16,108.937,0.82045,1.21802,0.00139,0.74492,0.83085,0.83426,0.69339,0.69761,1.14682,0.00179,0.00109531,0.00109531,0.00109531
17,114.877,0.81458,1.14988,0.00134,0.76619,0.7976,0.82844,0.67859,0.58481,1.00158,0.00155,0.001085,0.001085,0.001085
18,120.879,0.76222,1.11795,0.00128,0.79609,0.7976,0.81674,0.67298,0.59031,0.92187,0.00156,0.00107469,0.00107469,0.00107469
19,127.127,0.85438,1.03252,0.00143,0.76234,0.85203,0.82859,0.70137,0.73928,0.911,0.00194,0.00106437,0.00106437,0.00106437
20,133.051,0.86708,0.99354,0.00138,0.7398,0.83564,0.80669,0.67457,0.63255,0.88566,0.00166,0.00105406,0.00105406,0.00105406
21,138.961,0.76196,0.95082,0.00122,0.79871,0.79624,0.83065,0.69818,0.60389,0.80322,0.00164,0.00104375,0.00104375,0.00104375
22,144.954,0.7795,0.86694,0.0013,0.71424,0.92153,0.83682,0.70255,0.5374,0.7402,0.00146,0.00103344,0.00103344,0.00103344
23,150.891,0.72018,0.80359,0.00119,0.78544,0.78808,0.82488,0.6893,0.57438,0.76155,0.00159,0.00102312,0.00102312,0.00102312
24,156.965,0.75696,0.78443,0.00121,0.84134,0.78808,0.85135,0.72679,0.53696,0.72263,0.00145,0.00101281,0.00101281,0.00101281
25,162.828,0.72966,0.74302,0.00119,0.77239,0.8279,0.83814,0.69933,0.61198,0.72192,0.0016,0.0010025,0.0010025,0.0010025
26,168.713,0.72601,0.68673,0.00115,0.85588,0.76956,0.85378,0.71977,0.56087,0.63385,0.00153,0.000992188,0.000992188,0.000992188
27,174.497,0.76974,0.69317,0.00126,0.80385,0.83831,0.83291,0.70604,0.60994,0.64411,0.00164,0.000981875,0.000981875,0.000981875
28,180.351,0.67999,0.64339,0.00115,0.79874,0.80867,0.824,0.6863,0.61907,0.62721,0.00165,0.000971562,0.000971562,0.000971562
29,186.261,0.73334,0.63171,0.00118,0.71394,0.8885,0.84174,0.71077,0.58418,0.56329,0.00158,0.00096125,0.00096125,0.00096125
30,192.146,0.6942,0.60834,0.00112,0.74843,0.84169,0.82903,0.69933,0.5217,0.56828,0.00144,0.000950937,0.000950937,0.000950937
31,198.001,0.7212,0.58209,0.00118,0.8129,0.77837,0.80697,0.69492,0.56441,0.59136,0.00154,0.000940625,0.000940625,0.000940625
32,204.146,0.69454,0.58118,0.00112,0.75664,0.8582,0.85262,0.71434,0.56916,0.53006,0.00154,0.000930313,0.000930313,0.000930313
33,210.261,0.71715,0.56162,0.00116,0.74906,0.87701,0.85037,0.71868,0.63869,0.53789,0.00171,0.00092,0.00092,0.00092
34,216.463,0.72196,0.53479,0.00116,0.76045,0.86092,0.83996,0.72366,0.5818,0.52783,0.00155,0.000909688,0.000909688,0.000909688
35,222.41,0.681,0.52043,0.00108,0.73264,0.87607,0.82897,0.70198,0.57639,0.48823,0.00152,0.000899375,0.000899375,0.000899375
36,228.455,0.69528,0.50568,0.00113,0.79416,0.83926,0.84256,0.71935,0.54425,0.4775,0.00144,0.000889062,0.000889062,0.000889062
37,234.798,0.68655,0.50371,0.0011,0.82,0.8026,0.8438,0.72526,0.52415,0.48231,0.00137,0.00087875,0.00087875,0.00087875
38,241.966,0.63505,0.45957,0.00103,0.81193,0.82006,0.84904,0.71573,0.53078,0.48824,0.00144,0.000868437,0.000868437,0.000868437
39,249.055,0.63054,0.47172,0.00105,0.79535,0.8582,0.85296,0.73743,0.48627,0.43644,0.0013,0.000858125,0.000858125,0.000858125
40,255.37,0.66154,0.4636,0.00106,0.8074,0.8582,0.84239,0.72624,0.52314,0.47685,0.00138,0.000847813,0.000847813,0.000847813
41,261.794,0.65623,0.45407,0.00103,0.79945,0.87471,0.86263,0.72862,0.49195,0.44005,0.00133,0.0008375,0.0008375,0.0008375
42,268.581,0.67695,0.45656,0.00108,0.82466,0.85141,0.86815,0.74948,0.53996,0.45312,0.00147,0.000827187,0.000827187,0.000827187
43,275.393,0.63967,0.4291,0.00101,0.80466,0.8582,0.85287,0.73041,0.46321,0.41465,0.00124,0.000816875,0.000816875,0.000816875
44,282.664,0.62699,0.41785,0.00098,0.75295,0.88986,0.8591,0.73291,0.49952,0.40497,0.0013,0.000806562,0.000806562,0.000806562
45,288.799,0.63389,0.41907,0.00098,0.80308,0.81702,0.85149,0.72866,0.50271,0.4426,0.00131,0.00079625,0.00079625,0.00079625
46,294.908,0.59795,0.4014,0.00097,0.7374,0.88458,0.84912,0.73691,0.49828,0.45379,0.0013,0.000785938,0.000785938,0.000785938
47,301.1,0.6236,0.40083,0.00097,0.7848,0.83978,0.84366,0.73233,0.51498,0.43435,0.00132,0.000775625,0.000775625,0.000775625
48,307.358,0.62251,0.40226,0.00104,0.80425,0.88066,0.83881,0.73428,0.49833,0.42686,0.00129,0.000765313,0.000765313,0.000765313
49,313.404,0.62072,0.38385,0.00099,0.82542,0.85277,0.84807,0.73362,0.54614,0.43271,0.0014,0.000755,0.000755,0.000755
50,319.45,0.63003,0.40542,0.00103,0.80932,0.85141,0.84174,0.73389,0.51754,0.41765,0.00131,0.000744688,0.000744688,0.000744688
51,325.579,0.60641,0.39497,0.00101,0.78255,0.87335,0.82586,0.71693,0.52042,0.43688,0.00133,0.000734375,0.000734375,0.000734375
52,331.732,0.60794,0.38061,0.00098,0.77547,0.86327,0.82717,0.72033,0.46986,0.4323,0.00125,0.000724062,0.000724062,0.000724062
53,337.931,0.62821,0.38832,0.00097,0.78662,0.88715,0.84556,0.73539,0.47906,0.40805,0.00124,0.00071375,0.00071375,0.00071375
