epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8565,1.18755,6.22915,0.00184,0.02506,0.55041,0.26379,0.08308,0.8133,5.9083,0.00204,0.00040625,0.00040625,0.00040625
2,24.9324,1.11028,4.28184,0.00176,0.95317,0.94287,0.96878,0.71028,0.98965,3.7946,0.0025,0.000816128,0.000816128,0.000816128
3,31.0939,1.15569,3.88067,0.00183,0.95503,0.97003,0.98168,0.75531,0.96106,3.69008,0.00244,0.00121913,0.00121913,0.00121913
4,37.4954,1.09098,3.26263,0.00173,0.96867,0.9673,0.98674,0.77708,0.88588,2.82813,0.00215,0.00121906,0.00121906,0.00121906
5,43.6899,1.06318,2.83221,0.00158,0.93634,0.96182,0.98677,0.82266,0.7955,2.68929,0.002,0.00120875,0.00120875,0.00120875
6,49.6817,1.17519,2.64014,0.00177,0.96263,0.98254,0.98977,0.82195,0.90045,2.3474,0.00218,0.00119844,0.00119844,0.00119844
7,55.5142,1.16063,2.51125,0.00178,0.96754,0.9745,0.99023,0.84209,0.84584,2.20421,0.00208,0.00118812,0.00118812,0.00118812
8,61.2894,1.10099,2.42566,0.00174,0.96908,0.9782,0.9906,0.82417,0.97016,2.28715,0.00236,0.00117781,0.00117781,0.00117781
9,67.0589,0.95107,2.31561,0.0015,0.95046,0.9891,0.99022,0.85661,0.79636,2.13863,0.00207,0.0011675,0.0011675,0.0011675
10,72.805,0.91695,2.00209,0.00142,0.9805,0.95917,0.99202,0.86588,0.78772,1.72583,0.00195,0.00115719,0.00115719,0.00115719
11,78.9926,0.88334,1.86198,0.00138,0.95928,0.98638,0.99205,0.87193,0.72949,1.65548,0.0018,0.00114688,0.00114688,0.00114688
12,84.79,0.75925,1.73527,0.00122,0.96243,0.97721,0.99178,0.87847,0.73677,1.56996,0.00188,0.00113656,0.00113656,0.00113656
13,91.8005,0.73415,1.52946,0.00114,0.98339,0.9564,0.99192,0.87379,0.58907,1.40612,0.00149,0.00112625,0.00112625,0.00112625
14,99.0006,0.78868,1.3787,0.00119,0.98131,0.95913,0.99239,0.87948,0.6667,1.2299,0.00163,0.00111594,0.00111594,0.00111594
15,105.5,0.73589,1.23728,0.00112,0.97463,0.9782,0.99321,0.8731,0.58086,1.18183,0.00146,0.00110563,0.00110563,0.00110563
16,112.548,0.73876,1.21285,0.00117,0.9766,0.9782,0.99292,0.85881,0.614,1.15588,0.00156,0.00109531,0.00109531,0.00109531
17,119.523,0.74265,1.13536,0.00116,0.98342,0.96943,0.99258,0.89148,0.68219,1.02139,0.00168,0.001085,0.001085,0.001085
18,126.103,0.7214,1.09878,0.00113,0.96425,0.98638,0.99051,0.88263,0.54339,0.92381,0.00134,0.00107469,0.00107469,0.00107469
19,132.824,0.71104,1.01305,0.00113,0.96791,0.98623,0.99188,0.89864,0.50508,0.82951,0.00123,0.00106437,0.00106437,0.00106437
20,139.172,0.70219,0.95069,0.00106,0.97465,0.98365,0.99188,0.90072,0.47681,0.76672,0.00119,0.00105406,0.00105406,0.00105406
